City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,cockburn town,21.4612,-71.1419,28.98,79,40,5.14,TC,1696110904
342,ambovombe,-25.1667,46.0833,20.81,88,73,1.83,MG,1696110969
343,guangyuan,32.442,105.823,18.3,79,100,1.81,CN,1696110970
344,saarijarvi,62.7049,25.254,11.09,94,95,3.82,FI,1696110970
345,boa esperanca,-21.09,-45.5658,25.99,52,85,1.24,BR,1696110916
346,aitape,-3.1374,142.3475,26.64,86,94,2.9,PG,1696110971
347,prado,-17.3411,-39.2208,23.15,79,98,4.6,BR,1696110972
348,oltinko'l,40.8011,72.1634,17.01,37,4,1.92,UZ,1696110972
349,lamu,-2.2717,40.902,26.12,80,3,6.63,KE,1696110973
350,la paz,-16.5,-68.15,17.99,39,75,2.57,BO,1696110968
351,north bondi,-33.8824,151.2769,26.63,51,0,4.12,AU,1696110973
352,wewak,-3.5534,143.6268,25.95,87,100,2.71,PG,1696110974
353,lompoc,34.6391,-120.4579,22.79,68,40,5.66,US,1696110974
354,puerto madero,14.7208,-92.4215,29.93,71,58,3.22,MX,1696110975
355,yurimaguas,-5.9,-76.0833,29.09,74,100,4.63,PE,1696110975
356,brookings,44.3114,-96.7984,31.19,61,0,5.14,US,1696110975
357,cuamba,-14.8031,36.5372,24.69,29,28,1.77,MZ,1696110976
358,as sulayyil,20.4607,45.5779,30.14,14,0,2.18,SA,1696110976
359,nepomuceno,-21.2358,-45.2358,22.07,70,87,2.36,BR,1696110977
360,happy valley-goose bay,53.3168,-60.3315,19.17,42,75,2.06,CA,1696110977
361,sona,45.4388,10.8255,19.77,72,0,2.06,IT,1696110977
362,aral,40.5156,81.2636,18.53,30,74,2.81,CN,1696110978
